Ride,Date/Time,Wait Time
Pirates of the Caribbean,3/1/2019 9:05,5
Pirates of the Caribbean,3/1/2019 9:10,10
Pirates of the Caribbean,3/1/2019 9:15,10
Pirates of the Caribbean,3/1/2019 9:20,15
Pirates of the Caribbean,3/1/2019 9:25,20
Pirates of the Caribbean,3/1/2019 9:30,25
Pirates of the Caribbean,3/1/2019 9:35,25
Pirates of the Caribbean,3/1/2019 9:40,25
Pirates of the Caribbean,3/1/2019 9:45,30
Pirates of the Caribbean,3/1/2019 9:50,25
Pirates of the Caribbean,3/1/2019 9:55,25
Pirates of the Caribbean,3/1/2019 10:00,25
Pirates of the Caribbean,3/1/2019 10:05,30
Pirates of the Caribbean,3/1/2019 10:10,30
Pirates of the Caribbean,3/1/2019 10:15,30
Pirates of the Caribbean,3/1/2019 10:20,35
Pirates of the Caribbean,3/1/2019 10:25,45
Pirates of the Caribbean,3/1/2019 10:30,40
Pirates of the Caribbean,3/1/2019 10:35,40
Pirates of the Caribbean,3/1/2019 10:40,40
Pirates of the Caribbean,3/1/2019 10:45,45
Pirates of the Caribbean,3/1/2019 10:50,45
Pirates of the Caribbean,3/1/2019 10:55,40
Pirates of the Caribbean,3/1/2019 11:05,35
Pirates of the Caribbean,3/1/2019 11:10,35
Pirates of the Caribbean,3/1/2019 11:15,40
Pirates of the Caribbean,3/1/2019 11:20,45
Pirates of the Caribbean,3/1/2019 11:25,45
Pirates of the Caribbean,3/1/2019 11:30,40
Pirates of the Caribbean,3/1/2019 11:35,40
Pirates of the Caribbean,3/1/2019 11:40,35
Pirates of the Caribbean,3/1/2019 11:45,35
Pirates of the Caribbean,3/1/2019 11:50,40
Pirates of the Caribbean,3/1/2019 11:55,45
Pirates of the Caribbean,3/1/2019 12:00,40
Pirates of the Caribbean,3/1/2019 12:05,40
Pirates of the Caribbean,3/1/2019 12:10,45
Pirates of the Caribbean,3/1/2019 12:15,40
Pirates of the Caribbean,3/1/2019 12:20,40
Pirates of the Caribbean,3/1/2019 12:25,40
Pirates of the Caribbean,3/1/2019 12:35,35
Pirates of the Caribbean,3/1/2019 12:40,40
Pirates of the Caribbean,3/1/2019 12:45,40
Pirates of the Caribbean,3/1/2019 12:50,40
Pirates of the Caribbean,3/1/2019 12:55,35
Pirates of the Caribbean,3/1/2019 13:00,40
Pirates of the Caribbean,3/1/2019 13:05,35
Pirates of the Caribbean,3/1/2019 13:10,35
Pirates of the Caribbean,3/1/2019 13:15,50
Pirates of the Caribbean,3/1/2019 13:20,50
Pirates of the Caribbean,3/1/2019 13:25,50
Pirates of the Caribbean,3/1/2019 13:30,60
Pirates of the Caribbean,3/1/2019 13:35,50
Pirates of the Caribbean,3/1/2019 13:40,50
Pirates of the Caribbean,3/1/2019 13:45,50
Pirates of the Caribbean,3/1/2019 13:50,55
Pirates of the Caribbean,3/1/2019 13:55,45
Pirates of the Caribbean,3/1/2019 14:00,45
Pirates of the Caribbean,3/1/2019 14:05,45
Pirates of the Caribbean,3/1/2019 14:10,45
Pirates of the Caribbean,3/1/2019 14:15,40
Pirates of the Caribbean,3/1/2019 14:20,45
Pirates of the Caribbean,3/1/2019 14:25,45
Pirates of the Caribbean,3/1/2019 14:30,45
Pirates of the Caribbean,3/1/2019 14:35,45
Pirates of the Caribbean,3/1/2019 14:40,40
Pirates of the Caribbean,3/1/2019 14:45,45
Pirates of the Caribbean,3/1/2019 14:50,45
Pirates of the Caribbean,3/1/2019 14:55,30
Pirates of the Caribbean,3/1/2019 15:00,35
Pirates of the Caribbean,3/1/2019 15:05,40
Pirates of the Caribbean,3/1/2019 15:10,40
Pirates of the Caribbean,3/1/2019 15:15,30
Pirates of the Caribbean,3/1/2019 15:20,30
